,Season,Name,xK%,K%,Deviation,Deviation%
1217,2011,Cliff Pennington,17.323,18.2,-0.877,-4.819
1218,2019,Miguel Rojas,13.07,11.8,1.27,10.763
1219,2018,Brett Gardner,15.842,17.6,-1.758,-9.989
1220,2011,Coco Crisp,9.609,11.1,-1.491,-13.432
1221,2016,Stephen Vogt,16.994,15.6,1.394,8.936
1222,2015,Austin Jackson,22.879,23.9,-1.021,-4.272
1223,2010,Matt Wieters,17.482,18.7,-1.218,-6.513
1224,2018,Alex Gordon,22.061,21.8,0.261,1.197
1225,2015,Gregory Polanco,16.914,18.6,-1.686,-9.065
1226,2013,Nick Markakis,11.194,10.9,0.294,2.697
1227,2012,Ruben Tejada,14.226,14.6,-0.374,-2.562
1228,2014,Ben Revere,6.69,7.8,-1.11,-14.231
1229,2018,Salvador Perez,19.152,19.9,-0.748,-3.759
1230,2013,Alexei Ramirez,9.401,10.1,-0.699,-6.921
1231,2015,Torii Hunter,18.881,18.5,0.381,2.059
1232,2015,Anthony Gose,24.68,27.1,-2.42,-8.93
1233,2010,Jason Bartlett,16.299,15.6,0.699,4.481
1234,2018,Brian Dozier,20.91,20.4,0.51,2.5
1235,2015,Addison Russell,28.419,28.5,-0.081,-0.284
1236,2011,Delmon Young,15.389,16.9,-1.511,-8.941
1237,2015,Wilmer Flores,13.413,12.4,1.013,8.169
1238,2016,Jordy Mercer,16.016,14.2,1.816,12.789
1239,2016,Howie Kendrick,18.669,17.7,0.969,5.475
1240,2014,Salvador Perez,12.825,14.0,-1.175,-8.393
1241,2011,Placido Polanco,8.079,8.4,-0.321,-3.821
1242,2015,Johnny Giavotella,11.765,11.8,-0.035,-0.297
1243,2013,Andrelton Simmons,9.383,8.4,0.983,11.702
1244,2017,Hunter Pence,20.411,18.9,1.511,7.995
1245,2013,Dan Uggla,31.023,31.8,-0.777,-2.443
1246,2015,Didi Gregorius,17.284,14.7,2.584,17.578
1247,2016,Alex Gordon,27.823,29.2,-1.377,-4.716
1248,2011,John Buck,20.567,21.7,-1.133,-5.221
1249,2014,J.J. Hardy,17.911,18.3,-0.389,-2.126
1250,2011,Colby Rasmus,21.577,22.1,-0.523,-2.367
1251,2011,Robert Andino,16.293,16.2,0.093,0.574
1252,2011,Martin Prado,8.127,8.8,-0.673,-7.648
1253,2017,Kevin Pillar,14.972,15.0,-0.028,-0.187
1254,2013,Matt Wieters,16.933,18.0,-1.067,-5.928
1255,2019,Lorenzo Cain,17.689,17.0,0.689,4.053
1256,2010,Yuniesky Betancourt,7.989,10.9,-2.911,-26.706
1257,2011,Kurt Suzuki,13.374,12.4,0.974,7.855
1258,2010,A.J. Pierzynski,8.799,7.8,0.999,12.808
1259,2010,Juan Pierre,8.618,6.4,2.218,34.656
1260,2011,Carl Crawford,18.265,19.3,-1.035,-5.363
