,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
168,2019,Carlos Santana,CLE,158,686,0.157,0.212,0.662,0.662,0.876,0.404,0.544,0.076,0.245,1.114558473,2793,0.393,0.807,211,176,80
169,2019,Austin Meadows,TBR,138,591,0.222,0.274,0.632,0.622,0.879,0.425,0.609,0.09,0.288,0.93006993,2497,0.422,0.786,136,171,92
170,2019,Kris Bryant,CHC,147,634,0.229,0.305,0.603,0.76,0.826,0.394,0.584,0.126,0.257,0.805668016,2486,0.484,0.741,143,172,83
171,2014,Yasiel Puig,LAD,148,640,0.194,0.296,0.59,0.748,0.843,0.391,0.595,0.119,0.243,1.122395833,2306,0.473,0.747,223,144,64
172,2010,Adrian Gonzalez,SDP,160,693,0.165,0.304,0.643,0.706,0.87,0.424,0.563,0.097,0.237,0.924710425,2668,0.475,0.787,189,189,101
173,2019,Yoan Moncada,CHW,132,559,0.275,0.327,0.512,0.669,0.833,0.427,0.646,0.139,0.308,0.939790576,2219,0.473,0.706,152,124,83
174,2016,Mookie Betts,BOS,158,730,0.11,0.255,0.715,0.584,0.948,0.476,0.608,0.052,0.275,1.583554377,2709,0.412,0.873,247,235,115
175,2010,Nick Swisher,NYY,150,635,0.219,0.255,0.615,0.685,0.881,0.434,0.556,0.09,0.251,0.918454936,2554,0.441,0.794,152,192,84
176,2015,David Ortiz,BOS,146,614,0.155,0.283,0.656,0.719,0.854,0.396,0.521,0.098,0.235,0.997742664,2488,0.456,0.78,162,181,99
177,2013,Adrian Beltre,TEX,161,690,0.113,0.356,0.778,0.66,0.908,0.438,0.606,0.07,0.232,1.101190476,2534,0.489,0.855,212,222,121
178,2019,Josh Bell,PIT,143,613,0.192,0.302,0.66,0.778,0.832,0.377,0.548,0.113,0.227,0.861283644,2442,0.481,0.765,183,155,78
179,2010,Kelly Johnson,ARI,154,671,0.221,0.284,0.584,0.682,0.869,0.433,0.563,0.105,0.264,0.829867675,2765,0.456,0.768,182,167,90
180,2012,Matt Holliday,STL,157,688,0.192,0.312,0.684,0.731,0.859,0.383,0.564,0.1,0.232,0.900763359,2677,0.472,0.788,218,165,89
181,2019,Jorge Soler,KCR,162,679,0.262,0.271,0.471,0.707,0.837,0.388,0.613,0.132,0.295,0.96287703,2750,0.44,0.699,163,171,81
182,2010,Ryan Braun,MIL,157,685,0.153,0.308,0.674,0.647,0.901,0.436,0.572,0.084,0.256,1.198598131,2533,0.456,0.815,248,179,86
183,2017,Justin Upton,- - -,152,635,0.283,0.269,0.585,0.661,0.785,0.446,0.587,0.125,0.294,0.7875,2695,0.444,0.717,139,165,74
184,2018,Freddie Freeman,ATL,162,707,0.187,0.345,0.668,0.85,0.84,0.417,0.603,0.124,0.202,0.745454545,2663,0.556,0.778,179,154,159
185,2016,Ryan Braun,MIL,135,564,0.174,0.362,0.68,0.744,0.895,0.408,0.594,0.099,0.223,0.894396552,2106,0.518,0.806,231,104,80
186,2012,Chase Headley,SDP,161,699,0.225,0.268,0.558,0.708,0.855,0.4,0.578,0.112,0.258,0.92244898,2835,0.444,0.748,219,145,88
187,2011,Hunter Pence,- - -,154,668,0.186,0.336,0.646,0.688,0.884,0.411,0.629,0.102,0.244,1.002057613,2579,0.48,0.786,250,150,87
188,2019,Josh Donaldson,ATL,155,659,0.235,0.257,0.624,0.718,0.766,0.393,0.584,0.125,0.267,0.855291577,2742,0.438,0.715,167,144,85
189,2017,Jose Abreu,CHW,156,675,0.176,0.33,0.635,0.677,0.888,0.438,0.573,0.101,0.266,1.072186837,2560,0.482,0.791,229,184,92
190,2010,Jason Heyward,ATL,142,623,0.205,0.235,0.64,0.588,0.871,0.431,0.535,0.08,0.269,0.989949749,2588,0.387,0.791,217,107,70
191,2010,Joe Mauer,MIN,137,584,0.091,0.245,0.807,0.558,0.96,0.471,0.55,0.034,0.254,1.339130435,2262,0.392,0.91,216,134,112
192,2019,Rafael Devers,BOS,156,702,0.17,0.405,0.719,0.762,0.826,0.404,0.611,0.121,0.234,0.878333333,2636,0.549,0.779,234,181,112
193,2012,Billy Butler,KCR,161,679,0.163,0.295,0.712,0.598,0.894,0.452,0.558,0.074,0.271,1.21291866,2591,0.432,0.826,240,146,121
194,2014,Jayson Werth,WSN,147,629,0.18,0.237,0.685,0.539,0.91,0.434,0.603,0.063,0.292,1.089974293,2667,0.368,0.828,169,170,85
195,2018,Manny Machado,- - -,162,709,0.147,0.322,0.658,0.735,0.89,0.401,0.563,0.098,0.232,1.17920354,2529,0.488,0.798,213,225,95
196,2018,Eugenio Suarez,CIN,143,606,0.234,0.259,0.566,0.7,0.874,0.424,0.596,0.102,0.266,0.880630631,2429,0.446,0.771,150,145,96
197,2011,Jose Reyes,NYM,126,586,0.07,0.315,0.832,0.582,0.954,0.416,0.556,0.041,0.241,1.542319749,2114,0.426,0.901,207,181,104
198,2017,Eric Hosmer,KCR,162,671,0.155,0.3,0.642,0.692,0.891,0.435,0.581,0.093,0.239,1.063829787,2573,0.47,0.802,278,111,111
199,2011,Corey Hart,MIL,130,551,0.207,0.264,0.506,0.704,0.821,0.446,0.655,0.128,0.284,1.169753086,2119,0.46,0.721,169,132,78
200,2017,George Springer,HOU,140,629,0.176,0.237,0.617,0.705,0.858,0.447,0.564,0.095,0.244,0.971365639,2550,0.446,0.787,213,149,79
201,2012,David Wright,NYM,156,670,0.167,0.246,0.716,0.661,0.881,0.435,0.56,0.072,0.237,1.102325581,2567,0.426,0.827,201,168,105
202,2018,Bryce Harper,WSN,159,695,0.243,0.261,0.554,0.754,0.796,0.391,0.574,0.131,0.25,0.71402214,2877,0.454,0.711,154,147,86
203,2012,Joe Mauer,MIN,147,641,0.137,0.223,0.819,0.525,0.912,0.429,0.532,0.042,0.28,1.155778894,2767,0.353,0.878,242,103,115
204,2010,Evan Longoria,TBR,151,661,0.188,0.253,0.608,0.641,0.88,0.465,0.526,0.087,0.254,1.077464789,2564,0.434,0.795,168,198,93
205,2012,Aaron Hill,ARI,156,668,0.129,0.295,0.733,0.614,0.929,0.457,0.6,0.062,0.248,1.248803828,2483,0.441,0.858,179,233,110
