,Season,Name,Team,G,PA,BB%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,Fair/Foul ratio,Pitches,Swing%,Contact%,GB,FB,LD
437,2017,Paul DeJong,STL,108,443,0.047,0.336,0.592,0.723,0.822,0.465,0.614,0.133,0.274,0.775725594,1757,0.516,0.742,99,126,69
438,2015,Lucas Duda,NYM,135,554,0.119,0.286,0.605,0.636,0.88,0.392,0.513,0.098,0.277,0.842105263,2266,0.423,0.767,92,170,74
439,2012,Shin-Soo Choo,CLE,155,686,0.106,0.234,0.598,0.659,0.833,0.444,0.587,0.101,0.276,0.975982533,2811,0.423,0.761,222,121,104
440,2018,Kris Bryant,CHC,102,457,0.105,0.299,0.587,0.736,0.842,0.429,0.6,0.121,0.268,0.807365439,1742,0.487,0.752,97,116,72
441,2018,Tommy Pham,- - -,137,570,0.118,0.23,0.548,0.612,0.874,0.438,0.611,0.092,0.298,1.082066869,2246,0.397,0.768,171,100,85
442,2011,Ben Zobrist,TBR,156,674,0.114,0.252,0.718,0.594,0.885,0.439,0.542,0.07,0.27,1.045454545,2710,0.402,0.826,209,161,90
443,2014,Starling Marte,PIT,135,545,0.061,0.363,0.607,0.69,0.843,0.432,0.64,0.128,0.276,0.811627907,2072,0.504,0.746,165,102,82
444,2019,Gleyber Torres,NYY,144,604,0.079,0.351,0.603,0.763,0.838,0.406,0.611,0.133,0.257,0.844,2393,0.518,0.744,157,177,88
445,2021,Justin Turner,LAD,151,612,0.1,0.28,0.741,0.684,0.898,0.408,0.554,0.071,0.239,0.91875,2465,0.445,0.84,154,193,94
446,2013,Prince Fielder,DET,162,712,0.105,0.303,0.671,0.69,0.856,0.385,0.553,0.099,0.253,1.240291262,2618,0.452,0.78,209,185,117
447,2019,Michael Conforto,NYM,151,648,0.13,0.273,0.634,0.723,0.818,0.408,0.6,0.113,0.26,0.823770492,2587,0.457,0.753,145,161,96
448,2012,Corey Hart,MIL,149,622,0.071,0.278,0.561,0.655,0.803,0.438,0.616,0.124,0.293,1.082010582,2468,0.444,0.718,164,166,79
449,2016,Carlos Beltran,- - -,151,593,0.059,0.312,0.692,0.662,0.913,0.423,0.585,0.079,0.257,1.201058201,2188,0.46,0.827,191,168,95
450,2014,Drew Stubbs,COL,132,424,0.071,0.226,0.507,0.622,0.807,0.445,0.611,0.115,0.324,1.06779661,1704,0.402,0.713,112,87,53
451,2016,Mark Trumbo,BAL,159,667,0.076,0.338,0.573,0.699,0.82,0.431,0.636,0.136,0.292,0.894949495,2623,0.494,0.724,175,191,77
452,2016,Dustin Pedroia,BOS,154,698,0.087,0.26,0.803,0.609,0.925,0.492,0.58,0.048,0.248,1.17047817,2728,0.431,0.888,276,151,136
453,2015,Francisco Lindor,CLE,99,438,0.062,0.318,0.695,0.737,0.903,0.436,0.616,0.086,0.224,0.961077844,1578,0.501,0.829,163,92,66
454,2017,Dexter Fowler,STL,118,491,0.128,0.248,0.625,0.669,0.874,0.433,0.564,0.089,0.247,0.92,1972,0.43,0.792,127,123,72
455,2017,Mark Reynolds,COL,148,593,0.116,0.261,0.45,0.675,0.786,0.445,0.573,0.144,0.305,0.876262626,2470,0.445,0.676,146,126,75
456,2019,Nick Castellanos,- - -,151,664,0.062,0.409,0.585,0.763,0.879,0.39,0.619,0.14,0.257,0.916988417,2436,0.547,0.745,179,188,108
457,2018,Andrew Benintendi,BOS,148,661,0.107,0.284,0.765,0.708,0.875,0.413,0.566,0.076,0.222,0.94302554,2581,0.459,0.835,196,170,114
458,2017,Josh Reddick,HOU,134,540,0.08,0.28,0.756,0.648,0.914,0.425,0.548,0.063,0.246,1.189655172,2037,0.437,0.856,139,175,100
459,2021,Jared Walsh,LAA,144,585,0.082,0.344,0.666,0.694,0.843,0.418,0.574,0.113,0.267,0.810638298,2256,0.49,0.77,184,114,83
460,2012,Alex Gordon,KCR,161,721,0.101,0.277,0.656,0.652,0.876,0.444,0.56,0.088,0.266,0.961832061,2894,0.444,0.8,213,165,126
461,2019,Kyle Schwarber,CHC,155,610,0.115,0.264,0.603,0.668,0.816,0.411,0.556,0.112,0.274,0.863741339,2539,0.43,0.739,142,158,74
462,2013,Justin Upton,ATL,149,643,0.117,0.247,0.589,0.668,0.773,0.453,0.619,0.123,0.29,0.941176471,2628,0.438,0.717,163,151,86
463,2021,Jose Altuve,HOU,146,678,0.097,0.347,0.772,0.667,0.919,0.385,0.636,0.07,0.246,1.032653061,2488,0.47,0.852,197,196,113
464,2013,Buster Posey,SFG,148,595,0.101,0.241,0.79,0.598,0.912,0.444,0.553,0.051,0.251,1.199475066,2405,0.4,0.871,216,150,91
465,2013,Jason Kipnis,CLE,149,658,0.116,0.212,0.638,0.589,0.896,0.452,0.527,0.069,0.277,0.970319635,2763,0.382,0.818,183,137,105
