,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,M-Swing%,Meat%,Edge%,Fair/Foul ratio
619,2018,Kole Calhoun,LAA,137,552,0.241,0.282,0.569,0.761,0.818,0.437,0.58,0.129,0.262,0.838,0.076,0.414,0.881355932
620,2018,Marwin Gonzalez,HOU,145,552,0.228,0.319,0.65,0.599,0.863,0.417,0.585,0.099,0.284,0.569,0.095,0.428,0.922680412
621,2015,Angel Pagan,SFG,133,551,0.169,0.25,0.808,0.62,0.936,0.445,0.566,0.044,0.262,0.652,0.078,0.454,1.197183099
622,2015,Asdrubal Cabrera,TBR,143,551,0.194,0.368,0.71,0.752,0.85,0.43,0.648,0.109,0.231,0.818,0.059,0.422,0.825363825
623,2017,Dansby Swanson,ATL,144,551,0.218,0.272,0.618,0.666,0.871,0.437,0.583,0.096,0.28,0.793,0.077,0.429,0.948849105
624,2018,Derek Dietrich,MIA,149,551,0.254,0.344,0.642,0.718,0.859,0.428,0.603,0.114,0.266,0.749,0.074,0.429,0.747412008
626,2017,Eric Thames,MIL,138,551,0.296,0.276,0.542,0.668,0.809,0.398,0.552,0.127,0.293,0.687,0.059,0.425,0.743902439
627,2015,Martin Prado,MIA,129,551,0.123,0.264,0.767,0.532,0.954,0.498,0.633,0.043,0.291,0.569,0.087,0.425,1.358024691
628,2021,Tim Anderson,CHW,123,551,0.216,0.405,0.63,0.819,0.849,0.419,0.648,0.139,0.243,0.843,0.086,0.42,0.862869198
629,2017,Ben Gamel,SEA,134,550,0.222,0.284,0.662,0.632,0.883,0.468,0.595,0.086,0.277,0.858,0.086,0.439,0.975
630,2019,Brett Gardner,NYY,141,550,0.196,0.248,0.676,0.56,0.912,0.435,0.535,0.067,0.286,0.751,0.079,0.412,1.018766756
631,2019,Hanser Alberto,BAL,139,550,0.091,0.476,0.787,0.737,0.936,0.411,0.662,0.079,0.208,0.762,0.078,0.415,1.081967213
632,2019,Josh Reddick,HOU,141,550,0.12,0.331,0.765,0.742,0.928,0.431,0.602,0.067,0.206,0.828,0.066,0.427,1.016055046
633,2021,Josh Rojas,ARI,139,550,0.249,0.244,0.643,0.638,0.857,0.444,0.598,0.089,0.288,0.72,0.08,0.441,0.838942308
634,2021,Mookie Betts,LAD,122,550,0.156,0.229,0.682,0.646,0.931,0.42,0.582,0.061,0.256,0.736,0.082,0.427,1.010498688
635,2021,Brandon Crawford,SFG,138,549,0.191,0.321,0.558,0.795,0.821,0.412,0.608,0.142,0.256,0.86,0.074,0.439,0.916067146
