,Season,Name,Team,G,PA,H,2B,2B%,FB%,GB%,LD%,SweetSpot%,Pull%,Cent%,Oppo%,Barrel%,HardHit%,LDFB_EV,Spd
1179,2017,Alcides Escobar,KCR,162,629,150,36,0.24,0.374,0.293,0.218,0.445,0.38,0.335,0.285,0.02,0.209,0.4805,3.1
1180,2019,Miguel Rojas,MIA,132,526,137,29,0.211678832,0.296,0.379,0.236,0.391,0.314,0.393,0.293,0.021,0.288,0.467,7.8
1181,2015,Anthony Gose,DET,140,535,123,24,0.195121951,0.252,0.418,0.208,0.297,0.31,0.357,0.333,0.018,0.304,0.469,2.2
1182,2019,David Fletcher,LAA,154,653,173,30,0.173410405,0.296,0.478,0.264,0.316,0.448,0.322,0.23,0.002,0.169,0.4605,3.3
1183,2021,Kevin Newman,PIT,148,554,117,22,0.188034188,0.36,0.414,0.197,0.41,0.344,0.414,0.241,0.016,0.26,0.4715,1.5
1184,2015,Billy Burns,OAK,125,555,153,18,0.117647059,0.281,0.402,0.216,0.373,0.292,0.369,0.339,0,0.143,0.472,3.3
1185,2015,Josh Harrison,PIT,114,449,120,29,0.241666667,0.335,0.515,0.251,0.363,0.355,0.361,0.284,0.014,0.247,0.475,1.5
1186,2016,Yunel Escobar,LAA,132,567,157,28,0.178343949,0.208,0.447,0.212,0.337,0.337,0.425,0.239,0.028,0.357,0.458,2.2
1187,2015,Billy Hamilton,CIN,114,454,93,8,0.086021505,0.378,0.431,0.196,0.327,0.294,0.42,0.286,0.006,0.086,0.435,1.9
1188,2018,Jonathan Lucroy,OAK,126,454,100,21,0.21,0.334,0.448,0.247,0.285,0.325,0.401,0.275,0.014,0.275,0.4505,4.5
1189,2016,Nori Aoki,SEA,118,467,118,24,0.203389831,0.221,0.404,0.172,0.393,0.312,0.386,0.302,0.005,0.245,0.479,4.4
1190,2016,Andrelton Simmons,LAA,124,483,126,22,0.174603175,0.256,0.368,0.195,0.343,0.357,0.388,0.255,0.012,0.296,0.48,2.9
1191,2015,Johnny Giavotella,LAA,129,502,123,25,0.203252033,0.305,0.515,0.237,0.323,0.367,0.386,0.247,0.01,0.196,0.44,3.9
1192,2021,Adam Frazier,- - -,155,639,176,36,0.204545455,0.296,0.419,0.294,0.306,0.371,0.324,0.305,0.01,0.25,0.502,6.9
1193,2016,Jose Iglesias,DET,137,513,119,26,0.218487395,0.283,0.398,0.203,0.33,0.382,0.311,0.307,0.007,0.206,0.4345,3.6
1194,2016,Josh Harrison,PIT,131,522,138,25,0.18115942,0.363,0.422,0.195,0.303,0.407,0.333,0.26,0.021,0.229,0.4545,2.8
1195,2015,Yadier Molina,STL,136,530,132,23,0.174242424,0.32,0.481,0.203,0.329,0.362,0.328,0.31,0.018,0.255,0.448,2.7
1196,2018,Alcides Escobar,KCR,140,531,112,22,0.196428571,0.322,0.38,0.216,0.366,0.415,0.341,0.244,0.017,0.215,0.478,3.9
1197,2015,Ruben Tejada,NYM,116,407,94,23,0.244680851,0.325,0.338,0.273,0.369,0.344,0.337,0.32,0.017,0.235,0.439,2.2
1198,2015,Chris Owings,ARI,147,552,117,27,0.230769231,0.342,0.444,0.264,0.375,0.383,0.346,0.27,0.026,0.249,0.469,3.2
1199,2018,Billy Hamilton,CIN,153,556,119,16,0.134453782,0.352,0.44,0.269,0.368,0.347,0.334,0.318,0.003,0.085,0.477,4.6
1200,2018,Matt Duffy,TBR,132,560,148,22,0.148648649,0.204,0.459,0.253,0.366,0.293,0.378,0.329,0.012,0.278,0.45,3.9
1201,2019,Dee Strange-Gordon,SEA,117,421,108,12,0.111111111,0.254,0.459,0.211,0.332,0.337,0.358,0.305,0,0.185,0.4575,5.9
1202,2015,Jordy Mercer,PIT,116,430,96,21,0.21875,0.306,0.385,0.207,0.37,0.387,0.369,0.244,0.018,0.29,0.4705,3
1203,2015,Andrelton Simmons,ATL,147,583,142,23,0.161971831,0.224,0.502,0.214,0.312,0.345,0.422,0.233,0.008,0.29,0.471,3.3
1204,2018,Dee Strange-Gordon,SEA,141,588,149,17,0.11409396,0.224,0.331,0.224,0.332,0.329,0.363,0.308,0,0.124,0.4255,7.1
1205,2021,Andrelton Simmons,MIN,131,451,92,12,0.130434783,0.275,0.426,0.183,0.341,0.418,0.398,0.184,0.006,0.215,0.462,4.7
1206,2016,Erick Aybar,- - -,126,459,101,19,0.188118812,0.234,0.369,0.195,0.321,0.395,0.335,0.27,0.003,0.151,0.454,2.7
1207,2016,Billy Hamilton,CIN,119,460,107,19,0.177570093,0.305,0.577,0.219,0.315,0.348,0.37,0.282,0.003,0.115,0.459,4.1
1208,2017,Billy Hamilton,CIN,139,633,144,17,0.118055556,0.306,0.486,0.236,0.351,0.368,0.373,0.259,0.002,0.112,0.473,5.9
1209,2021,Myles Straw,- - -,158,638,153,29,0.189542484,0.336,0.474,0.257,0.267,0.288,0.371,0.342,0.013,0.259,0.44,5.4
1210,2015,Dee Strange-Gordon,MIA,145,653,205,24,0.117073171,0.187,0.419,0.215,0.396,0.301,0.385,0.314,0.009,0.172,0.476,3.9
1211,2021,Elvis Andrus,OAK,146,541,121,25,0.20661157,0.296,0.489,0.243,0.265,0.376,0.364,0.26,0.021,0.348,0.465,2.3
1212,2016,Adeiny Hechavarria,MIA,155,547,120,17,0.141666667,0.3,0.401,0.222,0.405,0.289,0.389,0.323,0.007,0.311,0.486,1.1
1213,2015,Angel Pagan,SFG,133,551,134,21,0.156716418,0.341,0.384,0.233,0.313,0.318,0.407,0.275,0.005,0.224,0.474,5.8
1214,2016,Ender Inciarte,ATL,131,578,152,24,0.157894737,0.268,0.519,0.237,0.273,0.319,0.351,0.33,0.007,0.15,0.4515,3.1
1215,2018,Jon Jay,- - -,143,586,141,19,0.134751773,0.165,0.477,0.242,0.31,0.334,0.352,0.314,0.016,0.216,0.4755,3.2
1216,2019,Nicky Lopez,KCR,103,402,91,22,0.241758242,0.222,0.392,0.156,0.312,0.302,0.366,0.332,0.006,0.193,0.4555,2.8
1217,2018,Logan Forsythe,- - -,120,416,86,16,0.186046512,0.322,0.373,0.19,0.333,0.37,0.325,0.304,0.01,0.298,0.477,1.1
1218,2015,Erick Aybar,LAA,156,638,161,30,0.186335404,0.264,0.445,0.21,0.321,0.401,0.375,0.224,0.007,0.192,0.4545,3.7
