,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
63,2017,Anthony Rizzo,CHC,157,691,156,0.225759768,0.273,0.201,0.407,0.392,0.101,0.336,0.082,0.387,,0.169,0.82,0.449,0.333,0.218
64,2016,Brian Dozier,MIN,155,691,165,0.23878437,0.28,0.159,0.364,0.477,0.132,0.315,0.081,0.362,,0.184,0.81,0.564,0.283,0.153
65,2021,Mitch Haniger,SEA,157,691,157,0.227206946,0.281,0.161,0.434,0.405,0.097,0.342,0.126,0.447,,0.21,1.26,0.473,0.331,0.196
66,2021,Tommy Edman,STL,159,691,168,0.243125904,0.291,0.218,0.46,0.322,0.063,0.312,0.043,0.353,,0.063,0.43,0.442,0.322,0.236
67,2019,Alex Bregman,HOU,156,690,164,0.237681159,0.281,0.225,0.315,0.459,0.118,0.335,0.046,0.372,,0.186,0.46,0.453,0.363,0.184
68,2018,Paul Goldschmidt,ARI,158,690,172,0.249275362,0.359,0.25,0.386,0.364,0.118,0.355,0.131,0.437,,0.216,1.31,0.379,0.364,0.257
69,2021,Bo Bichette,TOR,159,690,191,0.276811594,0.339,0.205,0.491,0.304,0.065,0.371,0.099,0.475,,0.188,0.99,0.294,0.371,0.335
70,2015,Dexter Fowler,CHC,156,690,149,0.215942029,0.308,0.203,0.433,0.364,0.063,0.303,0.04,0.3,,0.106,0.4,0.441,0.309,0.251
71,2017,Manny Machado,BAL,156,690,163,0.236231884,0.265,0.158,0.421,0.421,0.132,0.32,0.094,0.475,,0.151,0.94,0.416,0.336,0.248
72,2015,Jose Altuve,HOU,154,689,200,0.290275762,0.329,0.181,0.467,0.352,0.084,0.325,0.033,0.284,,0.074,0.33,0.453,0.355,0.191
73,2015,Adam Eaton,CHW,153,689,175,0.253991292,0.345,0.22,0.507,0.273,0.102,0.312,0.029,0.305,,0.109,0.29,0.292,0.368,0.34
74,2017,Elvis Andrus,TEX,158,689,191,0.277213353,0.325,0.2,0.485,0.315,0.087,0.267,0.037,0.314,,0.116,0.37,0.448,0.36,0.192
75,2016,Carlos Santana,CLE,158,688,151,0.219476744,0.258,0.16,0.428,0.412,0.109,0.293,0.09,0.428,,0.169,0.9,0.529,0.307,0.164
76,2016,Jason Kipnis,CLE,156,688,168,0.244186047,0.324,0.237,0.389,0.374,0.069,0.382,0.061,0.395,,0.131,0.61,0.408,0.351,0.242
77,2016,Corey Seager,LAD,157,687,193,0.280931587,0.355,0.244,0.463,0.293,0.021,0.343,0.077,0.438,,0.179,0.77,0.371,0.343,0.286
78,2021,J.P. Crawford,SEA,160,687,169,0.245997089,0.32,0.236,0.456,0.308,0.116,0.375,0.024,0.304,,0.058,0.24,0.304,0.424,0.273
79,2019,Carlos Santana,CLE,158,686,161,0.234693878,0.293,0.171,0.452,0.377,0.091,0.37,0.094,0.448,,0.193,0.94,0.456,0.349,0.195
80,2021,Ozzie Albies,ATL,156,686,163,0.237609329,0.278,0.201,0.314,0.485,0.081,0.291,0.093,0.368,,0.122,0.93,0.435,0.313,0.252
81,2015,Kyle Seager,SEA,161,686,166,0.241982507,0.278,0.24,0.352,0.408,0.098,0.297,0.068,0.346,,0.121,0.68,0.444,0.318,0.238
82,2015,Nick Markakis,ATL,156,686,181,0.263848397,0.338,0.208,0.523,0.27,0.091,0.306,0.008,0.336,,0.021,0.08,0.287,0.383,0.33
83,2015,Kole Calhoun,LAA,159,686,161,0.234693878,0.304,0.228,0.418,0.354,0.072,0.361,0.064,0.322,,0.157,0.64,0.426,0.343,0.231
84,2017,Jose Bautista,TOR,157,686,119,0.173469388,0.239,0.165,0.377,0.458,0.165,0.356,0.064,0.356,,0.119,0.64,0.45,0.33,0.219
85,2015,Andrew McCutchen,PIT,157,685,165,0.240875912,0.339,0.235,0.382,0.382,0.059,0.381,0.086,0.441,,0.136,0.86,0.389,0.378,0.233
86,2016,Evan Longoria,TBR,160,685,173,0.252554745,0.298,0.214,0.319,0.468,0.116,0.41,0.115,0.417,,0.155,1.15,0.429,0.345,0.226
87,2016,Francisco Lindor,CLE,158,684,182,0.266081871,0.324,0.224,0.492,0.284,0.053,0.34,0.039,0.331,,0.099,0.39,0.391,0.356,0.253
88,2018,Ozzie Albies,ATL,158,684,167,0.244152047,0.285,0.213,0.388,0.399,0.096,0.377,0.04,0.294,,0.115,0.4,0.448,0.311,0.241
89,2016,Nick Markakis,ATL,158,684,161,0.235380117,0.3,0.219,0.43,0.351,0.067,0.346,0.043,0.428,,0.073,0.43,0.335,0.373,0.292
90,2018,Mitch Haniger,SEA,157,683,170,0.248901903,0.336,0.213,0.424,0.363,0.091,0.365,0.09,0.429,,0.158,0.9,0.448,0.367,0.185
91,2018,Jose Peraza,CIN,157,683,182,0.266471449,0.307,0.255,0.365,0.38,0.077,0.382,0.023,0.235,,0.068,0.23,0.353,0.36,0.288
92,2015,Melky Cabrera,CHW,158,683,172,0.251830161,0.297,0.239,0.463,0.299,0.091,0.309,0.022,0.36,,0.073,0.22,0.369,0.354,0.277
93,2015,Mike Trout,LAA,159,682,172,0.252199413,0.344,0.244,0.372,0.384,0.025,0.364,0.161,0.486,,0.253,1.61,0.382,0.332,0.287
94,2019,Bryce Harper,PHI,157,682,149,0.218475073,0.313,0.239,0.383,0.378,0.054,0.376,0.135,0.456,,0.235,1.35,0.378,0.378,0.243
95,2015,Curtis Granderson,NYM,157,682,150,0.219941349,0.305,0.271,0.308,0.421,0.077,0.362,0.076,0.4,,0.143,0.76,0.483,0.305,0.212
96,2018,Andrew McCutchen,- - -,155,682,145,0.212609971,0.304,0.23,0.413,0.357,0.091,0.344,0.079,0.415,,0.13,0.79,0.439,0.364,0.197
97,2019,Paul Goldschmidt,STL,161,682,155,0.227272727,0.303,0.221,0.385,0.394,0.088,0.317,0.106,0.417,,0.199,1.06,0.38,0.376,0.244
98,2015,Charlie Blackmon,COL,157,682,176,0.258064516,0.325,0.248,0.383,0.369,0.055,0.317,0.031,0.29,,0.093,0.31,0.45,0.325,0.225
99,2017,DJ LeMahieu,COL,155,682,189,0.2771261,0.351,0.247,0.556,0.197,0.058,0.409,0.015,0.412,,0.078,0.15,0.216,0.4,0.383
