,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
746,2021,Trent Grisham,SDP,132,527,112,0.292,0.216,0.414,0.37,0.072,0.307,0.052,0.365,0.388,0.376,0.236,5.1,0.4655
747,2015,Brandon Moss,- - -,145,526,106,0.285,0.204,0.325,0.471,0.066,0.349,0.114,0.395,0.494,0.306,0.201,2,0.4725
748,2016,Joe Panik,SFG,127,526,111,0.245,0.175,0.455,0.37,0.096,0.306,0.035,0.271,0.348,0.393,0.259,5.9,0.4505
749,2021,Miguel Cabrera,DET,130,526,121,0.305,0.196,0.482,0.322,0.06,0.328,0.083,0.49,0.339,0.369,0.292,0.9,0.4795
750,2019,Miguel Rojas,MIA,132,526,137,0.314,0.236,0.468,0.296,0.056,0.319,0.021,0.288,0.314,0.393,0.293,3.7,0.4465
751,2021,Starling Marte,- - -,120,526,145,0.372,0.211,0.548,0.241,0.08,0.323,0.084,0.394,0.38,0.356,0.264,7.8,0.467
752,2015,Christian Yelich,MIA,126,525,143,0.37,0.225,0.625,0.15,0,0.301,0.043,0.451,0.317,0.405,0.277,4.8,0.4745
753,2017,Gary Sanchez,NYY,122,525,131,0.304,0.211,0.423,0.366,0.108,0.335,0.115,0.431,0.515,0.332,0.152,2.6,0.4795
754,2017,Chris Davis,BAL,128,524,98,0.301,0.235,0.367,0.398,0.029,0.404,0.113,0.453,0.442,0.34,0.219,2.7,0.4755
755,2021,Francisco Lindor,NYM,125,524,104,0.248,0.186,0.394,0.42,0.094,0.353,0.082,0.441,0.427,0.34,0.233,5.3,0.47
756,2018,Johan Camargo,ATL,134,524,126,0.315,0.198,0.448,0.354,0.165,0.312,0.047,0.337,0.412,0.334,0.253,2.3,0.455
757,2018,Ryon Healy,SEA,133,524,116,0.257,0.192,0.442,0.366,0.115,0.322,0.065,0.414,0.448,0.348,0.204,0.9,0.466
758,2019,Wilson Ramos,NYM,141,524,136,0.31,0.184,0.624,0.192,0.064,0.258,0.037,0.425,0.398,0.346,0.256,1.6,0.469
759,2015,Addison Russell,CHC,142,523,115,0.324,0.182,0.41,0.407,0.144,0.343,0.046,0.289,0.426,0.328,0.246,3.3,0.4545
760,2018,Teoscar Hernandez,TOR,134,523,114,0.313,0.199,0.364,0.437,0.101,0.348,0.149,0.459,0.377,0.361,0.263,5.5,0.4885
761,2016,Wilson Ramos,WSN,131,523,148,0.327,0.204,0.543,0.253,0.058,0.327,0.066,0.43,0.383,0.342,0.275,0.9,0.48
762,2018,Chris Davis,BAL,128,522,79,0.237,0.211,0.396,0.393,0.055,0.355,0.096,0.401,0.408,0.323,0.27,2.2,0.4725
763,2016,Josh Harrison,PIT,131,522,138,0.323,0.195,0.443,0.363,0.054,0.364,0.021,0.229,0.407,0.333,0.26,6.8,0.4475
764,2018,Tucker Barnhart,CIN,138,522,114,0.291,0.244,0.449,0.307,0.09,0.351,0.027,0.303,0.443,0.319,0.238,2.8,0.4545
765,2019,Christian Vazquez,BOS,138,521,133,0.305,0.23,0.393,0.377,0.069,0.375,0.052,0.393,0.362,0.351,0.287,3.3,0.464
766,2019,Nelson Cruz,MIN,120,521,141,0.351,0.202,0.396,0.402,0.076,0.383,0.187,0.514,0.417,0.328,0.255,1.3,0.496
